af;loss;lr;nn;aca
1;1;0.001;1;0.50658685
1;1;0.001;10;0.50658685
1;1;0.001;100;0.50658685
1;1;0.001;200;0.50658685
1;1;0.001;50;0.50658685
1;1;0.01;1;0.50658685
1;1;0.01;10;0.50658685
1;1;0.01;100;0.50658685
1;1;0.01;200;0.50658685
1;1;0.01;50;0.50658685
1;2;0.001;1;0.50658685
1;2;0.001;10;0.50658685
1;2;0.001;100;0.50658685
1;2;0.001;200;0.50658685
1;2;0.001;50;0.50658685
1;2;0.01;1;0.50658685
1;2;0.01;10;0.50658685
1;2;0.01;100;0.50658685
1;2;0.01;200;0.50658685
1;2;0.01;50;0.50658685
2;1;0.001;1;0.50658685
2;1;0.001;10;0.50658685
2;1;0.001;100;0.50658685
2;1;0.001;200;0.50658685
2;1;0.001;50;0.50658685
2;1;0.01;1;0.49341318
2;1;0.01;10;0.50658685
2;1;0.01;100;0.50658685
2;1;0.01;200;0.50658685
2;1;0.01;50;0.50658685
2;2;0.001;1;0.50658685
2;2;0.001;10;0.50658685
2;2;0.001;100;0.50658685
2;2;0.001;200;0.50658685
2;2;0.001;50;0.50658685
2;2;0.01;1;0.50658685
2;2;0.01;10;0.50658685
2;2;0.01;100;0.50658685
2;2;0.01;200;0.50658685
2;2;0.01;50;0.50658685
;;;;0.49341318
;;;;0.50658685
;;;;0.50658685
;;;;0.50658685
;;;;0.50658685
;;;;0.50658685
;;;;0.50658685
;;;;0.50658685
;;;;0.50658685
;;;;0.50658685
