af;loss;lr;nn;loss;aca 
relu;binary_crossentropy;0.001;1;7.610872773;0.50658685
relu;binary_crossentropy;0.001;10;7.610872773;0.50658685
relu;binary_crossentropy;0.001;100;7.610872773;0.50658685
relu;binary_crossentropy;0.001;200;7.610872773;0.50658685
relu;binary_crossentropy;0.001;50;7.610872773;0.50658685
relu;binary_crossentropy;0.01;1;7.610872773;0.50658685
relu;binary_crossentropy;0.01;10;7.610872773;0.50658685
relu;binary_crossentropy;0.01;100;7.610872773;0.50658685
relu;binary_crossentropy;0.01;200;7.610872773;0.50658685
relu;binary_crossentropy;0.01;50;7.610872773;0.50658685
relu;mean_squared_error;0.001;1;0.493413174;0.50658685
relu;mean_squared_error;0.001;10;0.493413174;0.50658685
relu;mean_squared_error;0.001;100;0.493413174;0.50658685
relu;mean_squared_error;0.001;200;0.493413174;0.50658685
relu;mean_squared_error;0.001;50;0.493413174;0.50658685
relu;mean_squared_error;0.01;1;0.493413174;0.50658685
relu;mean_squared_error;0.01;10;0.493413174;0.50658685
relu;mean_squared_error;0.01;100;0.493413174;0.50658685
relu;mean_squared_error;0.01;200;0.493413174;0.50658685
relu;mean_squared_error;0.01;50;0.493413174;0.50658685
sigmoid;binary_crossentropy;0.001;1;0.585560884;0.722754478
sigmoid;binary_crossentropy;0.001;10;0.684841059;0.60658685
sigmoid;binary_crossentropy;0.001;100;0.693545712;0.50658685
sigmoid;binary_crossentropy;0.001;200;0.693545816;0.50658685
sigmoid;binary_crossentropy;0.001;50;0.69354581;0.50658685
sigmoid;binary_crossentropy;0.01;1;0.693545886;0.50658685
sigmoid;binary_crossentropy;0.01;10;0.693545708;0.50658685
sigmoid;binary_crossentropy;0.01;100;0.693545802;0.50658685
sigmoid;binary_crossentropy;0.01;200;0.693545807;0.832373875
sigmoid;binary_crossentropy;0.01;50;0.693545763;0.743128373
sigmoid;mean_squared_error;0.001;1;0.25052293;0.49341318
sigmoid;mean_squared_error;0.001;10;0.250169788;0.50658685
sigmoid;mean_squared_error;0.001;100;0.250199023;0.767492939
sigmoid;mean_squared_error;0.001;200;0.20183473;0.775374824
sigmoid;mean_squared_error;0.001;50;0.3123123;0.753528727
sigmoid;mean_squared_error;0.01;1;0.250198986;0.50658685
sigmoid;mean_squared_error;0.01;10;0.25019898;0.50658685
sigmoid;mean_squared_error;0.01;100;0.250198994;0.825759273
sigmoid;mean_squared_error;0.01;200;0.283713;0.771726395
sigmoid;mean_squared_error;0.01;50;0.250199009;0.60658685
