af;loss;lr;nn;loss;aca 
relu;binary_crossentropy;0.001;1;0.50658685;0.50658685
relu;binary_crossentropy;0.001;10;0.50658685;0.50658685
relu;binary_crossentropy;0.001;100;0.50658685;0.50658685
relu;binary_crossentropy;0.001;200;0.50658685;0.50658685
relu;binary_crossentropy;0.001;50;0.50658685;0.50658685
relu;binary_crossentropy;0.01;1;0.50658685;0.50658685
relu;binary_crossentropy;0.01;10;0.50658685;0.50658685
relu;binary_crossentropy;0.01;100;0.50658685;0.50658685
relu;binary_crossentropy;0.01;200;0.50658685;0.50658685
relu;binary_crossentropy;0.01;50;0.50658685;0.50658685
relu;mean_squared_error;0.001;1;0.50658685;0.50658685
relu;mean_squared_error;0.001;10;0.50658685;0.50658685
relu;mean_squared_error;0.001;100;0.50658685;0.50658685
relu;mean_squared_error;0.001;200;0.50658685;0.50658685
relu;mean_squared_error;0.001;50;0.50658685;0.50658685
relu;mean_squared_error;0.01;1;0.50658685;0.50658685
relu;mean_squared_error;0.01;10;0.50658685;0.50658685
relu;mean_squared_error;0.01;100;0.50658685;0.50658685
relu;mean_squared_error;0.01;200;0.50658685;0.50658685
relu;mean_squared_error;0.01;50;0.50658685;0.50658685
sigmoid;binary_crossentropy;0.001;1;0.722754478;0.722754478
sigmoid;binary_crossentropy;0.001;10;0.60658685;0.60658685
sigmoid;binary_crossentropy;0.001;100;0.50658685;0.50658685
sigmoid;binary_crossentropy;0.001;200;0.50658685;0.50658685
sigmoid;binary_crossentropy;0.001;50;0.50658685;0.50658685
sigmoid;binary_crossentropy;0.01;1;0.50658685;0.50658685
sigmoid;binary_crossentropy;0.01;10;0.50658685;0.50658685
sigmoid;binary_crossentropy;0.01;100;0.50658685;0.50658685
sigmoid;binary_crossentropy;0.01;200;0.832373875;0.832373875
sigmoid;binary_crossentropy;0.01;50;0.743128373;0.743128373
sigmoid;mean_squared_error;0.001;1;0.49341318;0.49341318
sigmoid;mean_squared_error;0.001;10;0.50658685;0.50658685
sigmoid;mean_squared_error;0.001;100;0.767492939;0.767492939
sigmoid;mean_squared_error;0.001;200;0.775374824;0.775374824
sigmoid;mean_squared_error;0.001;50;0.753528727;0.753528727
sigmoid;mean_squared_error;0.01;1;0.50658685;0.50658685
sigmoid;mean_squared_error;0.01;10;0.50658685;0.50658685
sigmoid;mean_squared_error;0.01;100;0.825759273;0.825759273
sigmoid;mean_squared_error;0.01;200;0.771726395;0.771726395
sigmoid;mean_squared_error;0.01;50;0.60658685;0.60658685
