c,gamma,aca 
100,1e-06,0.8191489361702128
100,1e-05,0.8311170212765957
100,0.0001,0.839095744680851
100,0.001,0.8696808510638298
100,0.01,0.863031914893617
100,0.1,0.8670212765957447
100,0.5,0.6875
100,0.8,0.5784574468085106
100,1,0.5598404255319149
100,5,0.5438829787234043
100,25,0.5425531914893617
100,50,0.5345744680851063
100,100,0.5345744680851063
50,1e-06,0.8164893617021277
50,1e-05,0.8257978723404256
50,0.0001,0.8351063829787234
50,0.001,0.8656914893617021
50,0.01,0.8683510638297872
50,0.1,0.8670212765957447
50,0.5,0.6875
50,0.8,0.5784574468085106
50,1,0.5598404255319149
50,5,0.5438829787234043
50,25,0.5425531914893617
50,50,0.5345744680851063
50,100,0.5345744680851063
25,1e-06,0.8178191489361702
25,1e-05,0.8284574468085106
25,0.0001,0.8351063829787234
25,0.001,0.8550531914893617
25,0.01,0.875
25,0.1,0.8670212765957447
25,0.5,0.6875
25,0.8,0.5784574468085106
25,1,0.5598404255319149
25,5,0.5438829787234043
25,25,0.5425531914893617
25,50,0.5345744680851063
25,100,0.5345744680851063
10,1e-06,0.6210106382978723
10,1e-05,0.8191489361702128
10,0.0001,0.8297872340425532
10,0.001,0.8470744680851063
10,0.01,0.875
10,0.1,0.8656914893617021
10,0.5,0.6875
10,0.8,0.5784574468085106
10,1,0.5598404255319149
10,5,0.5438829787234043
10,25,0.5425531914893617
10,50,0.5345744680851063
10,100,0.5345744680851063
1,1e-06,0.5332446808510638
1,1e-05,0.6196808510638298
1,0.0001,0.8191489361702128
1,0.001,0.8337765957446809
1,0.01,0.8696808510638298
1,0.1,0.8696808510638298
1,0.5,0.6675531914893617
1,0.8,0.5638297872340425
1,1,0.5558510638297872
1,5,0.5438829787234043
1,25,0.5425531914893617
1,50,0.5345744680851063
1,100,0.5332446808510638
0.1,1e-06,0.5332446808510638
0.1,1e-05,0.5332446808510638
0.1,0.0001,0.6183510638297872
0.1,0.001,0.8218085106382979
0.1,0.01,0.8470744680851063
0.1,0.1,0.8151595744680851
0.1,0.5,0.5332446808510638
0.1,0.8,0.5332446808510638
0.1,1,0.5332446808510638
0.1,5,0.5332446808510638
0.1,25,0.5332446808510638
0.1,50,0.5332446808510638
0.1,100,0.5332446808510638
0.001,1e-06,0.5332446808510638
0.001,1e-05,0.5332446808510638
0.001,0.0001,0.5332446808510638
0.001,0.001,0.5332446808510638
0.001,0.01,0.5332446808510638
0.001,0.1,0.5332446808510638
0.001,0.5,0.5332446808510638
0.001,0.8,0.5332446808510638
0.001,1,0.5332446808510638
0.001,5,0.5332446808510638
0.001,25,0.5332446808510638
0.001,50,0.5332446808510638
0.001,100,0.5332446808510638
0.0001,1e-06,0.5332446808510638
0.0001,1e-05,0.5332446808510638
0.0001,0.0001,0.5332446808510638
0.0001,0.001,0.5332446808510638
0.0001,0.01,0.5332446808510638
0.0001,0.1,0.5332446808510638
0.0001,0.5,0.5332446808510638
0.0001,0.8,0.5332446808510638
0.0001,1,0.5332446808510638
0.0001,5,0.5332446808510638
0.0001,25,0.5332446808510638
0.0001,50,0.5332446808510638
0.0001,100,0.5332446808510638
1e-05,1e-06,0.5332446808510638
1e-05,1e-05,0.5332446808510638
1e-05,0.0001,0.5332446808510638
1e-05,0.001,0.5332446808510638
1e-05,0.01,0.5332446808510638
1e-05,0.1,0.5332446808510638
1e-05,0.5,0.5332446808510638
1e-05,0.8,0.5332446808510638
1e-05,1,0.5332446808510638
1e-05,5,0.5332446808510638
1e-05,25,0.5332446808510638
1e-05,50,0.5332446808510638
1e-05,100,0.5332446808510638
